office_name,county_name,state_name,registered,voted,void,neutral,suffrage,ghazouani_votes,biram_votes,mewloud_votes,kane_votes,wavi_votes,boubacar_votes
Lycée,Mederdra,Trarza,360,216,2,1,213,128,9,4,0,2,70
Ecole Lemrabott Sidi Mahmoud,Arafat,Nouakchott Sud,513,359,6,3,350,150,54,17,32,1,96
Ecole Charatt,Mederdra,Trarza,373,251,3,4,244,168,16,0,4,1,55
Ecole etihad,Mederdra,Trarza,276,190,24,4,162,116,2,1,0,0,43
Ecole Lebheir,Djiguenni,Hodh Chargui,317,159,4,1,154,145,3,1,0,0,5
Lycée technique,Boghé,Brakna,416,282,5,3,274,63,94,2,80,1,34
T.P.,Zoueratt,Tiris Zemmour,364,294,4,4,286,195,20,7,8,2,54
Dispensaire Central,Kiffa,Assaba,406,257,6,1,250,173,53,4,6,0,14
Ecole 2 de Guerou,Guerou,Assaba,549,294,22,1,271,175,48,2,2,0,44
El Argoub 2,Tidjikja,Tagant,382,235,7,2,226,107,28,35,3,0,53
El Assala,Barkéol,Assaba,417,227,3,2,222,162,49,3,0,0,8
Ecole 11,Zoueratt,Tiris Zemmour,104,86,2,0,84,37,15,3,1,0,28
Ekhweyendi (Ecole Othmane),Aïoun,Hodh El Gharbi,359,221,12,0,209,78,51,18,6,2,54
Ecole Cheikh Souleymane Ball,Sebkha,Nouakchott Ouest,508,324,13,10,301,50,156,6,79,1,9
Ecole PK 14,Rosso,Trarza,412,211,4,6,201,86,38,1,2,0,74
Ecole Hsey Leleyatt,Rosso,Trarza,256,167,5,0,162,92,51,2,2,1,14
Ecole Dar El Beydha,Mederdra,Trarza,447,281,5,2,274,154,6,6,0,1,107
Collège 1,Zoueratt,Tiris Zemmour,423,302,6,2,294,102,68,10,5,2,107
Dar sorour,Keur Macène,Trarza,202,124,5,1,118,84,7,3,0,0,24
el jedida,Aleg,Brakna,281,204,0,2,202,154,11,0,0,0,37
Ecole 2,Ksar,Nouakchott Ouest,571,250,2,4,244,82,45,9,9,3,96
PMI,Tintane,Hodh El Gharbi,238,104,0,0,104,84,5,1,1,0,13
Elevage,Amourj,Hodh Chargui,489,225,3,0,222,160,19,1,2,2,38
Commune Ghabou,Ghabou,Guidimagha,493,298,10,3,285,180,85,3,8,1,8
Lycée,Tintane,Hodh El Gharbi,488,250,13,1,236,157,37,8,5,0,29
Nouejhena,Moudjeria,Tagant,164,97,2,0,95,43,2,1,0,0,49
Ecole Saad,R'Kiz,Trarza,340,222,7,0,215,150,10,3,2,1,49
Ecole Entakech,Moudjeria,Tagant,509,263,3,0,260,158,37,2,1,0,62
Bureaux de la Commune,Arafat,Nouakchott Sud,456,343,19,3,321,103,87,9,43,1,78
Collège 3 (El marbat),El Mina,Nouakchott Sud,461,308,13,12,283,83,79,4,71,0,46
Ecole 1,Bassiknou,Hodh Chargui,413,173,6,0,167,122,25,2,0,0,18
PMI,Kaédi,Gorgol,72,64,3,0,61,5,29,1,26,0,0
Elevage,Bassiknou,Hodh Chargui,379,164,5,0,159,115,18,1,5,1,19
Ecole Cheikh Hamahoullah,Arafat,Nouakchott Sud,516,381,5,4,372,204,43,6,3,1,115
Hay Elwiam Kendra,Kiffa,Assaba,404,394,4,0,390,387,1,0,0,0,2
Ecole Lebheir,Djiguenni,Hodh Chargui,316,200,13,0,187,178,1,1,0,0,7
Dispensaire Dioguentourou,Ghabou,Guidimagha,335,236,5,2,229,100,72,18,4,0,35
Elevage,Aleg,Brakna,387,262,6,3,253,141,44,2,8,0,58
Base,Aïoun,Hodh El Gharbi,503,210,1,0,209,103,13,9,0,3,81
Legoueissi - El Mahdhara,Néma,Hodh Chargui,214,183,1,0,182,173,1,0,0,0,8
Ecole central (application),Aïoun,Hodh El Gharbi,313,198,5,0,193,58,55,12,5,0,63
Oum Oumgheyrive,Tintane,Hodh El Gharbi,324,187,5,0,182,149,17,2,0,0,14
Ecole Aguerej,Magtalahjar,Brakna,259,151,4,2,145,135,2,1,0,0,7
Protection Civile,Rosso,Trarza,378,289,7,2,280,84,128,3,28,1,36
Ecole Oum El Ghoura,R'Kiz,Trarza,390,238,9,1,228,107,53,1,1,0,66
Ecole Ougba Ben Navaa,Arafat,Nouakchott Sud,311,227,3,2,222,85,50,9,23,1,54
Ecole Saada,Kiffa,Assaba,363,285,16,0,269,259,2,1,0,0,7
Meïmouna,Néma,Hodh Chargui,169,135,2,0,133,100,0,0,0,28,5
Ecole 2,Zoueratt,Tiris Zemmour,505,352,2,3,347,155,37,11,10,2,132
Ecole Sid'Ahmed Ould Aida,Ksar,Nouakchott Ouest,582,370,6,3,361,180,55,11,9,1,105
El Adala,Timbedra,Hodh Chargui,336,158,3,0,155,91,9,5,0,0,50
Dispensaire,F'Deirick,Tiris Zemmour,367,196,3,0,193,110,16,3,3,1,60
Ecole Hodelaye,Boghé,Brakna,522,397,9,18,370,76,15,1,266,0,12
Ecole Gleiguem,Riyad,Nouakchott Sud,269,206,13,6,187,48,81,2,28,0,28
Legdeim,Boumdeid,Assaba,248,238,0,1,237,231,1,1,0,0,4
Ecole Sed Elem,Ghabou,Guidimagha,196,154,11,0,143,62,67,0,2,0,12
Ecole 11,Sélibaby,Guidimagha,469,347,14,1,332,88,198,3,23,0,20
Ecole M'Beighiré bilal,Sélibaby,Guidimagha,435,340,19,0,321,44,228,2,40,1,6
Commune,Sélibaby,Guidimagha,562,335,9,0,326,77,143,3,66,1,36
