,state_code,state,county,town,center,center_id,office_id,registered,voted,void,neutral,suffrage,candidate_votes,candidate
139,1,Hodh Chargui,Bassiknou,Bassiknou,Hotel de Ville,6,2,410,183,10,3,170,20,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
140,1,Hodh Chargui,Bassiknou,Bassiknou,Hotel de Ville,6,2,410,183,10,3,170,10,Biram Dah Dah ABEID (Biram)
141,1,Hodh Chargui,Bassiknou,Bassiknou,Hotel de Ville,6,2,410,183,10,3,170,4,Mohamed Sidi MAOULOUD (Maouloud)
142,1,Hodh Chargui,Bassiknou,Bassiknou,Hotel de Ville,6,2,410,183,10,3,170,0,Mohamed Lemine El Mourteji El WAVI (Wavi)
143,1,Hodh Chargui,Bassiknou,Bassiknou,Hotel de Ville,6,2,410,183,10,3,170,5,KANE Hamidou Baba (Kane)
144,8,Dakhlet Nouadhibou,Chami,Chami,Dispensaire Chami,1,6,559,120,3,1,116,52,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
145,8,Dakhlet Nouadhibou,Chami,Chami,Dispensaire Chami,1,6,559,120,3,1,116,43,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
146,8,Dakhlet Nouadhibou,Chami,Chami,Dispensaire Chami,1,6,559,120,3,1,116,17,Biram Dah Dah ABEID (Biram)
147,8,Dakhlet Nouadhibou,Chami,Chami,Dispensaire Chami,1,6,559,120,3,1,116,3,Mohamed Sidi MAOULOUD (Maouloud)
148,8,Dakhlet Nouadhibou,Chami,Chami,Dispensaire Chami,1,6,559,120,3,1,116,0,Mohamed Lemine El Mourteji El WAVI (Wavi)
149,8,Dakhlet Nouadhibou,Chami,Chami,Dispensaire Chami,1,6,559,120,3,1,116,1,KANE Hamidou Baba (Kane)
150,1,Hodh Chargui,Timbedra,Timbedra,El Haye Al Idari,7,1,318,150,11,0,139,87,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
151,1,Hodh Chargui,Timbedra,Timbedra,El Haye Al Idari,7,1,318,150,11,0,139,36,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
152,1,Hodh Chargui,Timbedra,Timbedra,El Haye Al Idari,7,1,318,150,11,0,139,3,Biram Dah Dah ABEID (Biram)
153,1,Hodh Chargui,Timbedra,Timbedra,El Haye Al Idari,7,1,318,150,11,0,139,8,Mohamed Sidi MAOULOUD (Maouloud)
154,1,Hodh Chargui,Timbedra,Timbedra,El Haye Al Idari,7,1,318,150,11,0,139,4,Mohamed Lemine El Mourteji El WAVI (Wavi)
155,1,Hodh Chargui,Timbedra,Timbedra,El Haye Al Idari,7,1,318,150,11,0,139,1,KANE Hamidou Baba (Kane)
156,1,Hodh Chargui,Amourj,Amourj,Oum Nour,4,1,370,254,0,4,250,232,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
157,1,Hodh Chargui,Amourj,Amourj,Oum Nour,4,1,370,254,0,4,250,12,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
158,1,Hodh Chargui,Amourj,Amourj,Oum Nour,4,1,370,254,0,4,250,3,Biram Dah Dah ABEID (Biram)
159,1,Hodh Chargui,Amourj,Amourj,Oum Nour,4,1,370,254,0,4,250,1,Mohamed Sidi MAOULOUD (Maouloud)
160,1,Hodh Chargui,Amourj,Amourj,Oum Nour,4,1,370,254,0,4,250,1,Mohamed Lemine El Mourteji El WAVI (Wavi)
161,1,Hodh Chargui,Amourj,Amourj,Oum Nour,4,1,370,254,0,4,250,1,KANE Hamidou Baba (Kane)
