office_name,county_name,state_name,registered,voted,void,neutral,suffrage,ghazouani_votes,biram_votes,mewloud_votes,kane_votes,wavi_votes,boubacar_votes,gaz_perct,biram_perct,mewloud_perct,kane_perct,wavi_perct,boubacar_perct,turnout
Tewfik Ecole 2,Ouad Naga,Trarza,502,219,11,0,208,149,21,0,4,1,33,0.7163461538461539,0.10096153846153846,0.0,0.019230769230769232,0.004807692307692308,0.15865384615384615,43.63
Inpection de l'Enseignement,El Mina,Nouakchott Sud,101,83,1,3,79,23,25,1,25,0,5,0.2911392405063291,0.31645569620253167,0.012658227848101266,0.31645569620253167,0.0,0.06329113924050633,82.18
Ecole Inimich,Keur Macène,Trarza,517,220,4,1,215,128,61,1,1,0,24,0.5953488372093023,0.2837209302325581,0.004651162790697674,0.004651162790697674,0.0,0.11162790697674418,42.55
Ecole Ibn Yacine,El Mina,Nouakchott Sud,498,409,15,5,389,127,158,4,27,1,72,0.3264781491002571,0.40616966580976865,0.010282776349614395,0.06940874035989718,0.002570694087403599,0.18508997429305912,82.13
Maison des Jeunes,Sebkha,Nouakchott Ouest,585,398,9,5,384,36,148,4,179,0,17,0.09375,0.3854166666666667,0.010416666666666666,0.4661458333333333,0.0,0.044270833333333336,68.03
El Haye Al Idari,Timbedra,Hodh Chargui,315,148,6,0,142,82,3,4,2,3,48,0.5774647887323944,0.02112676056338028,0.028169014084507043,0.014084507042253521,0.02112676056338028,0.3380281690140845,46.98
El Veouz,Barkéol,Assaba,448,182,7,0,175,88,16,8,9,0,54,0.5028571428571429,0.09142857142857143,0.045714285714285714,0.05142857142857143,0.0,0.30857142857142855,40.62
tywilitte,Bennechab,Inchiri,166,119,5,0,114,97,5,0,1,0,11,0.8508771929824561,0.043859649122807015,0.0,0.008771929824561403,0.0,0.09649122807017543,71.69
Ecole Baédiam,Ghabou,Guidimagha,514,326,3,5,318,211,79,2,23,0,3,0.6635220125786163,0.24842767295597484,0.006289308176100629,0.07232704402515723,0.0,0.009433962264150943,63.42
Eljama,Boumdeid,Assaba,189,165,0,0,165,162,0,0,0,0,3,0.9818181818181818,0.0,0.0,0.0,0.0,0.01818181818181818,87.3
El Veouz,Barkéol,Assaba,450,191,4,1,186,97,42,4,9,1,33,0.521505376344086,0.22580645161290322,0.021505376344086023,0.04838709677419355,0.005376344086021506,0.1774193548387097,42.44
Legleib,Boumdeid,Assaba,328,214,1,1,212,198,1,7,1,0,5,0.9339622641509434,0.0047169811320754715,0.0330188679245283,0.0047169811320754715,0.0,0.02358490566037736,65.24
Ecole Walbounde,Boghé,Brakna,409,289,2,3,284,153,124,0,0,0,7,0.5387323943661971,0.43661971830985913,0.0,0.0,0.0,0.02464788732394366,70.66
Nouvelle Maison des Jeunes,Nouadhibou,Dakhlet Nouadhibou,592,370,3,0,367,163,48,20,19,3,114,0.444141689373297,0.1307901907356948,0.05449591280653951,0.051771117166212535,0.008174386920980926,0.3106267029972752,62.5
Lycée kaedi,Kaédi,Gorgol,423,325,5,4,316,45,216,3,35,0,17,0.14240506329113925,0.6835443037974683,0.00949367088607595,0.11075949367088607,0.0,0.05379746835443038,76.83
Ecole El Jame'e,Keur Macène,Trarza,440,240,3,4,233,168,5,2,0,2,56,0.721030042918455,0.02145922746781116,0.008583690987124463,0.0,0.008583690987124463,0.24034334763948498,54.55
Ecole 1 Moudjeria,Moudjeria,Tagant,406,204,6,0,198,145,9,23,1,1,19,0.7323232323232324,0.045454545454545456,0.11616161616161616,0.005050505050505051,0.005050505050505051,0.09595959595959595,50.25
Ecole 2 Moudjeria,Moudjeria,Tagant,330,158,2,0,156,130,3,11,1,0,11,0.8333333333333334,0.019230769230769232,0.07051282051282051,0.00641025641025641,0.0,0.07051282051282051,47.88
Dispensaire Central,Kiffa,Assaba,405,162,3,1,158,69,53,11,11,1,13,0.43670886075949367,0.33544303797468356,0.06962025316455696,0.06962025316455696,0.006329113924050633,0.08227848101265822,40.0
Dar El Oula,Aïoun,Hodh El Gharbi,193,114,5,0,109,78,7,0,0,0,24,0.7155963302752294,0.06422018348623854,0.0,0.0,0.0,0.22018348623853212,59.07
Centre de Promotion  feminine,Aïoun,Hodh El Gharbi,345,164,6,0,158,116,3,0,0,1,38,0.7341772151898734,0.0189873417721519,0.0,0.0,0.006329113924050633,0.24050632911392406,47.54
Ekhweyendi (Ecole Othmane),Aïoun,Hodh El Gharbi,359,175,3,1,171,71,47,4,0,0,49,0.4152046783625731,0.27485380116959063,0.023391812865497075,0.0,0.0,0.28654970760233917,48.75
Lycée,Monguel,Gorgol,309,169,11,7,151,99,7,0,40,0,5,0.6556291390728477,0.046357615894039736,0.0,0.26490066225165565,0.0,0.033112582781456956,54.69
Ecole Cheikh Souleymane Ball,Sebkha,Nouakchott Ouest,508,307,5,5,297,55,122,8,92,0,20,0.18518518518518517,0.4107744107744108,0.026936026936026935,0.30976430976430974,0.0,0.06734006734006734,60.43
Blemhader,Aïoun,Hodh El Gharbi,128,97,1,0,96,88,1,1,0,0,6,0.9166666666666666,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0625,75.78
El hadra,Aïoun,Hodh El Gharbi,136,116,0,0,116,108,0,1,0,0,7,0.9310344827586207,0.0,0.008620689655172414,0.0,0.0,0.0603448275862069,85.29
Grounvelle ecole,Aïoun,Hodh El Gharbi,124,101,0,0,101,86,0,1,0,0,14,0.8514851485148515,0.0,0.009900990099009901,0.0,0.0,0.13861386138613863,81.45
Centre de Promotion  feminine,Aïoun,Hodh El Gharbi,347,197,2,1,194,127,10,5,0,4,48,0.654639175257732,0.05154639175257732,0.02577319587628866,0.0,0.020618556701030927,0.24742268041237114,56.77
Berbouchya,Aïoun,Hodh El Gharbi,159,118,2,0,116,113,1,1,0,0,1,0.9741379310344828,0.008620689655172414,0.008620689655172414,0.0,0.0,0.008620689655172414,74.21
Oum El Akrich,Koubenni,Hodh El Gharbi,255,148,2,0,146,98,2,0,0,1,45,0.6712328767123288,0.0136986301369863,0.0,0.0,0.00684931506849315,0.3082191780821918,58.04
Ecole Projet,Moudjeria,Tagant,554,299,7,1,291,184,22,18,0,0,67,0.6323024054982818,0.07560137457044673,0.061855670103092786,0.0,0.0,0.23024054982817868,53.97
Sabouciré,Ghabou,Guidimagha,377,286,9,6,271,123,94,0,50,1,3,0.45387453874538747,0.34686346863468637,0.0,0.18450184501845018,0.0036900369003690036,0.01107011070110701,75.86
Dar Eslam ecole,Aïoun,Hodh El Gharbi,292,161,1,1,159,92,0,0,0,0,67,0.5786163522012578,0.0,0.0,0.0,0.0,0.42138364779874216,55.14
Lycée,Atar,Adrar,500,281,9,12,260,91,54,14,8,2,91,0.35,0.2076923076923077,0.05384615384615385,0.03076923076923077,0.007692307692307693,0.35,56.2
Ecole Loubeyrid,Keur Macène,Trarza,316,231,8,3,220,142,13,4,0,1,60,0.6454545454545455,0.05909090909090909,0.01818181818181818,0.0,0.004545454545454545,0.2727272727272727,73.1
Ecole Syassa,Moudjeria,Tagant,444,181,8,1,172,144,4,3,0,0,21,0.8372093023255814,0.023255813953488372,0.01744186046511628,0.0,0.0,0.12209302325581395,40.77
Ecole Mbrimos,Aleg,Brakna,268,188,0,0,188,117,0,0,0,0,71,0.6223404255319149,0.0,0.0,0.0,0.0,0.3776595744680851,70.15
